canonical_smiles,name,smiles,inchi_key,sources,source_ids,in_dilirank,dilirank_category,in_tdc_dili_pos,known_hepatotoxic
CC(=O)N[C@@H](Cc1ccc(Cl)cc1)[B-](O)(O)OC[C@H](N)C(=O)O,((1R)-1-acetamido-2-(4-chlorophenyl)ethyl)-((2S)-2-amino-3-hydroxy-3-oxo-propoxy)-dihydroxy-boron,[B-]([C@H](CC1=CC=C(C=C1)Cl)NC(=O)C)(O)(O)OC[C@@H](C(=O)O)N,RJXOEUFRQATKAB-RYUDHWBXSA-N,pubchem,17753902,0,unknown,0,0
CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,N-Acetyltyrosine,CC(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,CAHKINHBCWCHCF-JTQLQIEISA-N,drugcentral;pubchem,4481;68310,0,unknown,0,0
CC(=O)N[C@@H](Cc1ccc(OCC(=O)O)c(P(=O)(O)O)c1)C(=O)N[C@@H](C)c1ccc(OCC2CCCCC2)c(C(N)=O)c1,{4-[(2S)-2-Acetamido-3-({(1S)-1-[3-carbamoyl-4-(cyclohexylmethoxy)phenyl]ethyl}amino)-3-oxopropyl]-2-phosphonophenoxy}acetic acid,C[C@@H](C1=CC(=C(C=C1)OCC2CCCCC2)C(=O)N)NC(=O)[C@H](CC3=CC(=C(C=C3)OCC(=O)O)P(=O)(O)O)NC(=O)C,FXUGQWABROMTDA-SBUREZEXSA-N,pubchem,446300,0,unknown,0,0
CC(=O)N[C@@H](Cc1ccc(OCC(=O)O)c(P(=O)(O)O)c1)C(=O)N[C@H]1CCCCN(Cc2ccc(-c3ccccc3)cc2)C1=O,RU85493,CC(=O)N[C@@H](CC1=CC(=C(C=C1)OCC(=O)O)P(=O)(O)O)C(=O)N[C@H]2CCCCN(C2=O)CC3=CC=C(C=C3)C4=CC=CC=C4,MWEWSHNGVWABKG-SVBPBHIXSA-N,pubchem,5287515,0,unknown,0,0
CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)c(C=O)c1)C(=O)N[C@H]1CCCCN(Cc2ccc(-c3ccccc3)cc2)C1=O,RU84687,CC(=O)N[C@@H](CC1=CC(=C(C=C1)OP(=O)(O)O)C=O)C(=O)N[C@H]2CCCCN(C2=O)CC3=CC=C(C=C3)C4=CC=CC=C4,SAFPHFWYRLLBFO-NSOVKSMOSA-N,pubchem,5287544,0,unknown,0,0
CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@H]1CCCCN(Cc2ccc(-c3ccccc3)cc2)C1=O,Paratoulene Phosphate,CC(=O)N[C@@H](CC1=CC=C(C=C1)OP(=O)(O)O)C(=O)N[C@H]2CCCCN(C2=O)CC3=CC=C(C=C3)C4=CC=CC=C4,GGPXNASQNUOIPB-NSOVKSMOSA-N,pubchem,447518,0,unknown,0,0
CC(=O)N[C@@H](Cc1ccc(Oc2cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c2)cc1)C(=O)O,"3',5'-Dinitro-N-Acetyl-L-Thyronine",CC(=O)N[C@@H](CC1=CC=C(C=C1)OC2=CC(=C(C(=C2)[N+](=O)[O-])O)[N+](=O)[O-])C(=O)O,VZSQTOXQXPKQJX-ZDUSSCGKSA-N,pubchem,449394,0,unknown,0,0
CC(=O)N[C@@H](Cc1ccc(P(=O)(O)O)c(P(=O)(O)O)c1)C(=O)N[C@H]1CCCCN(Cc2ccc(-c3ccccc3)cc2)C1=O,RU83876,CC(=O)N[C@@H](CC1=CC(=C(C=C1)P(=O)(O)O)P(=O)(O)O)C(=O)N[C@H]2CCCCN(C2=O)CC3=CC=C(C=C3)C4=CC=CC=C4,WCMLXBUNHNAMNH-UIOOFZCWSA-N,pubchem,447527,0,unknown,0,0
CC(=O)N[C@@H](Cc1ccc(P(=O)(O)O)c(P(=O)(O)O)c1)C(=O)N[C@H]1CCCCc2cc(OCC3CCCCC3)c(C(N)=O)cc21,AP-22408,CC(=O)N[C@@H](CC1=CC(=C(C=C1)P(=O)(O)O)P(=O)(O)O)C(=O)N[C@H]2CCCCC3=CC(=C(C=C23)C(=O)N)OCC4CCCCC4,SPSGYTWOIGAABK-DQEYMECFSA-N,pubchem,445561,0,unknown,0,0
CC(=O)N[C@@H](Cc1cccc(C(=O)O)c1)B(O)O,1(R)-1-Acetamido-2-(3-Carboxyphenyl)Ethyl Boronic Acid,B([C@H](CC1=CC(=CC=C1)C(=O)O)NC(=O)C)(O)O,OBZSRKUYUGJGIM-JTQLQIEISA-N,pubchem,5287795,0,unknown,0,0
