canonical_smiles,name,smiles,inchi_key,sources,source_ids,in_dilirank,dilirank_category,in_tdc_dili_pos,known_hepatotoxic,sider_terms
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@H]2OC(=O)CCc1ccccc1,NANDROLONE PHENPROPIONATE,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@H]2OC(=O)CCc1ccccc1,UBWXUGDQUBIEIZ-QNTYDACNSA-N,chembl;drugcentral;pubchem,CHEMBL1200412;1882;229455,1,vMost-DILI-Concern,0,1,
C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,OXANDROLONE,C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,QSLJIVKCVHQPLV-PEMPUTJUSA-N,chembl;drugcentral;pubchem,CHEMBL1200436;2011;5878,1,vMost-DILI-Concern,0,1,
Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,ALOSETRON,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,JSWZEAMFRNKZNL-UHFFFAOYSA-N,chembl;pubchem,CHEMBL1110;CHEMBL1200885;2099,1,vLess-DILI-Concern,0,1,
Cc1c(-c2ccccc2)oc2c(C(=O)OCCN3CCCCC3)cccc2c1=O,FLAVOXATE,Cc1c(-c2ccccc2)oc2c(C(=O)OCCN3CCCCC3)cccc2c1=O,SPIUTQOUKAMGCX-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL1493;CHEMBL1200875;1175;3354,1,vLess-DILI-Concern,0,1,
Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,NELFINAVIR,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,QAGYKUNXZHXKMR-HKWSIXNMSA-N,chembl;drugcentral;pubchem,CHEMBL584;CHEMBL1205;1893;64143,1,vLess-DILI-Concern,0,1,
Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,lansoprazole,CC1=C(CS(=O)C2=NC3=C(N2)C=CC=C3)N=CC=C1OCC(F)(F)F,MJIHNNLFOKEZEW-UHFFFAOYSA-N,drugcentral;pubchem,1547;3883,1,vLess-DILI-Concern,0,1,
Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,LANSOPRAZOLE,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,MJIHNNLFOKEZEW-UHFFFAOYSA-N,chembl,CHEMBL480,1,vLess-DILI-Concern,0,1,
Cc1c(OCC(F)(F)F)ccnc1C[S@@+]([O-])c1nc2ccccc2[nH]1,DEXLANSOPRAZOLE,Cc1c(OCC(F)(F)F)ccnc1C[S@@+]([O-])c1nc2ccccc2[nH]1,MJIHNNLFOKEZEW-RUZDIDTESA-N,chembl,CHEMBL1201863,1,vLess-DILI-Concern,0,1,
Cc1c(OCC(F)(F)F)ccnc1C[S@@](=O)c1nc2ccccc2[nH]1,dexlansoprazole,CC1=C(OCC(F)(F)F)C=CN=C1C[S@@](=O)C1=NC2=C(N1)C=CC=C2,MJIHNNLFOKEZEW-RUZDIDTESA-N,drugcentral;pubchem,4162;9578005,1,vLess-DILI-Concern,0,1,
Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,DACTINOMYCIN,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,RJURFGZVJUQBHK-IIXSONLDSA-N,chembl;drugcentral;pubchem,CHEMBL1554;774;457193,1,vMost-DILI-Concern,0,1,
Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,RILPIVIRINE,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,YIBOMRUWOWDFLG-ONEGZZNKSA-N,chembl;drugcentral;pubchem,CHEMBL175691;CHEMBL1628504;4174;6451164,1,vLess-DILI-Concern,0,1,
Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,ETRAVIRINE,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,PYGWGZALEOIKDF-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL308954;1115;193962,1,vMost-DILI-Concern,0,1,
Cc1cc(C)cc(OCC2CNC(=O)O2)c1,METAXALONE,Cc1cc(C)cc(OCC2CNC(=O)O2)c1,IMWZZHHPURKASS-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL1079604;1722;15459,1,vLess-DILI-Concern,0,1,
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,SULFAMETHOXAZOLE,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,JLKIGFTWXXRPMT-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL443;2514;5329,0,unknown,1,1,
Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,CERITINIB,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,VERWOWGGCGHDQE-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL2403108;4866;57379345,1,vMost-DILI-Concern,0,1,
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,OLANZAPINE,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,KVWDHTXUZHCGIO-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL715;1982;135398745,1,vLess-DILI-Concern,0,1,
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,CELECOXIB,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,RZEKVGVHFLEQIL-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL118;568;2662,1,vLess-DILI-Concern,0,1,
Cc1ccc(=O)n(-c2ccccc2)c1,PIRFENIDONE,Cc1ccc(=O)n(-c2ccccc2)c1,ISWRGOKTTBVCFA-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL1256391;4224;40632,1,vMost-DILI-Concern,0,1,
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,TOLMETIN,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,UPSPUYADGBWSHF-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL1020;CHEMBL1200613;2699;5509,1,vLess-DILI-Concern,1,1,
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,GEMFIBROZIL,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,HEMJJKBWTPKOJG-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL457;1285;3463,1,vMost-DILI-Concern,0,1,
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,MECLOFENAMIC ACID,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,SBDNJUWAMKYJOX-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL509;CHEMBL1562610;1650;4037,0,unknown,1,1,
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,IMATINIB,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,KTUFNOKKBVMGRW-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL941;CHEMBL1642;1423;5291,1,vMost-DILI-Concern,1,1,
Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,PAZOPANIB,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,CUIHSIWYWATEQL-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL477772;CHEMBL1201733;4118;10113978,1,vMost-DILI-Concern,0,1,
Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1,TOLTERODINE,Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1,OOGJQPCLVADCPB-HXUWFJFHSA-N,chembl;drugcentral;pubchem,CHEMBL1382;CHEMBL1722209;2705;443879,1,vLess-DILI-Concern,0,1,
Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1,TOLAZAMIDE,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1,OUDSBRTVNLOZBN-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL817;2694;5503,1,vLess-DILI-Concern,0,1,
Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,VORTIOXETINE,Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,YQNWZWMKLDQSAC-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL2104993;CHEMBL2107387;4806;9966051,1,vLess-DILI-Concern,0,1,
Cc1cccc(C)c1NC(=O)C1CCCCN1C,MEPIVACAINE,Cc1cccc(C)c1NC(=O)C1CCCCN1C,INWLQCZOYSRPNW-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL1087;CHEMBL1200440;1700;4062,1,vLess-DILI-Concern,0,1,
Cc1cccc(C)c1OCC(C)N,MEXILETINE,Cc1cccc(C)c1OCC(C)N,VLPIATFUUWWMKC-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL558;CHEMBL1200606;1794;4178,1,vMost-DILI-Concern,0,1,
