name,smiles,canonical_smiles,inchi_key,sources,source_ids,sider_terms,in_dilirank,dilirank_category,in_tdc_dili_pos,known_hepatotoxic
"4,11-Diethyl-4-hydroxy-3,14-dioxo-3,4,12,14-tetrahydro-1H-pyrano(3',4':6,7)indolizino(1,2-b)quinolin-9-yl (1,4'-bipiperidine)-1'-carboxylate",CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,UWKQSNNFCGGAFS-UHFFFAOYSA-N,sider,3750,Aspartate aminotransferase increased;Blood alkaline phosphatase increased;Blood bilirubin abnormal;Blood bilirubin increased;Hepatic cancer metastatic;Hepatomegaly;Jaundice;Metastases to liver,0,unknown,0,1
Isoflurane,C(C(F)(F)F)(OC(F)F)Cl,FC(F)OC(Cl)C(F)(F)F,PIWKPBJCKXDKJR-UHFFFAOYSA-N,sider,3763,Hepatic failure;Hepatic function abnormal;Hepatic necrosis;Hepatitis;Hepatocellular injury;Jaundice;Liver injury;Traumatic liver injury,0,unknown,0,1
Isoniazid,C1=CN=CC=C1C(=O)NN,NNC(=O)c1ccncc1,QRXWMOHMRWLFEY-UHFFFAOYSA-N,sider,3767,Hepatic function abnormal;Hepatitis;Hepatocellular injury;Jaundice;Liver injury,0,unknown,0,1
Isradipine,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12,HMJIYCCIJYRONP-UHFFFAOYSA-N,sider,3784,Hepatitis;Liver function test abnormal,0,unknown,0,1
Itrizole,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,VHVPQPYKVGDNFY-UHFFFAOYSA-N,sider,3793,Acute hepatic failure;Alanine aminotransferase increased;Aspartate aminotransferase increased;Blood alkaline phosphatase increased;Gamma-glutamyltransferase increased;Hepatic enzyme abnormal;Hepatic enzyme increased;Hepatic failure;Hepatic function abnormal;Hepatitis;Hepatocellular injury;Hepatotoxicity;Jaundice;Liver disorder;Liver function test abnormal;Liver injury,0,unknown,0,1
"1-(4-(4-((2-(2,4-Dichlorophenyl)-2-(1H-imidazol-1-ylmethyl)-1,3-dioxolan-4-yl)methoxy)phenyl)piperazin-1-yl)ethanone",CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,XMAYWYJOQHXEEK-UHFFFAOYSA-N,sider,3823,Hepatic failure;Hepatic function abnormal;Hepatic necrosis;Hepatitis;Hepatitis cholestatic;Hepatotoxicity;Jaundice,0,unknown,0,1
Ketoprofen,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,DKYWVDODHFEZIM-UHFFFAOYSA-N,sider,3825,Hepatic function abnormal;Hepatitis;Hepatitis cholestatic;Jaundice,0,unknown,0,1
Ketorolac,C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,OZWKMVRBQXNZKK-UHFFFAOYSA-N,sider,3826,Aspartate aminotransferase increased;Hepatic enzyme increased;Hepatic failure;Hepatitis;Jaundice;Jaundice cholestatic,0,unknown,0,1
Ketotifen,CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,ZCVMWBYGMWKGHF-UHFFFAOYSA-N,sider,3827,Hepatic enzyme increased;Hepatitis,0,unknown,0,1
Labetalol,CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,SGUAFYQXFOLMHL-UHFFFAOYSA-N,sider,3869,Hepatic necrosis;Hepatitis;Jaundice;Jaundice cholestatic;Liver function test abnormal,0,unknown,0,1
